User ID,Session ID,Event Time,Event,Device,Region,Channel,Product Category,Revenue,Bonus Flag
USR-00001,SES-00001,46:20.4,Browse,Tablet,South,Organic,Electronics,0,Yes
USR-00001,SES-00001,49:20.4,Add to Cart,Tablet,South,Organic,Electronics,0,Yes
USR-00001,SES-00001,51:20.4,Checkout,Tablet,South,Organic,Electronics,0,Yes
USR-00002,SES-00002,06:42.3,Browse,Desktop,East,Email,Sports,0,Yes
USR-00002,SES-00002,10:42.3,Add to Cart,Desktop,East,Email,Sports,0,Yes
USR-00003,SES-00003,49:00.9,Browse,Tablet,South,Email,Fashion,0,Yes
USR-00004,SES-00004,58:00.8,Browse,Tablet,East,Organic,Sports,0,Yes
USR-00004,SES-00004,00:00.8,Add to Cart,Tablet,East,Organic,Sports,0,Yes
USR-00004,SES-00004,02:00.8,Checkout,Tablet,East,Organic,Sports,0,Yes
USR-00005,SES-00005,56:31.7,Browse,Desktop,South,Google Ads,Beauty,0,Yes
USR-00005,SES-00005,58:31.7,Add to Cart,Desktop,South,Google Ads,Beauty,0,Yes
USR-00005,SES-00005,01:31.7,Checkout,Desktop,South,Google Ads,Beauty,0,Yes
USR-00005,SES-00005,04:31.7,Purchase,Desktop,South,Google Ads,Beauty,427.16,No
USR-00006,SES-00006,00:28.8,Browse,Desktop,East,Email,Electronics,0,Yes
USR-00006,SES-00006,03:28.8,Add to Cart,Desktop,East,Email,Electronics,0,Yes
USR-00007,SES-00007,56:15.2,Browse,Desktop,West,Social Media,Fashion,0,Yes
USR-00007,SES-00007,01:15.2,Add to Cart,Desktop,West,Social Media,Fashion,0,Yes
USR-00007,SES-00007,03:15.2,Checkout,Desktop,West,Social Media,Fashion,0,Yes
USR-00008,SES-00008,57:39.1,Browse,Mobile,North,Social Media,Sports,0,Yes
USR-00009,SES-00009,35:04.7,Browse,Desktop,North,Organic,Fashion,0,Yes
USR-00009,SES-00009,39:04.7,Add to Cart,Desktop,North,Organic,Fashion,0,Yes
USR-00010,SES-00010,09:25.3,Browse,Mobile,East,Organic,Sports,0,Yes
USR-00011,SES-00011,17:35.8,Browse,Tablet,North,Google Ads,Home,0,Yes
USR-00011,SES-00011,20:35.8,Add to Cart,Tablet,North,Google Ads,Home,0,Yes
USR-00012,SES-00012,50:49.8,Browse,Desktop,South,Social Media,Home,0,Yes
USR-00012,SES-00012,53:49.8,Add to Cart,Desktop,South,Social Media,Home,0,Yes
USR-00013,SES-00013,11:19.3,Browse,Mobile,South,Google Ads,Sports,0,Yes
USR-00013,SES-00013,13:19.3,Add to Cart,Mobile,South,Google Ads,Sports,0,Yes
USR-00014,SES-00014,51:43.5,Browse,Desktop,West,Email,Electronics,0,Yes
USR-00014,SES-00014,55:43.5,Add to Cart,Desktop,West,Email,Electronics,0,Yes
USR-00014,SES-00014,59:43.5,Checkout,Desktop,West,Email,Electronics,0,Yes
USR-00015,SES-00015,08:01.5,Browse,Tablet,East,Social Media,Fashion,0,Yes
USR-00015,SES-00015,13:01.5,Add to Cart,Tablet,East,Social Media,Fashion,0,Yes
USR-00015,SES-00015,18:01.5,Checkout,Tablet,East,Social Media,Fashion,0,Yes
USR-00016,SES-00016,11:38.3,Browse,Desktop,South,Social Media,Fashion,0,Yes
USR-00017,SES-00017,13:19.9,Browse,Desktop,West,Google Ads,Beauty,0,Yes
USR-00017,SES-00017,15:19.9,Add to Cart,Desktop,West,Google Ads,Beauty,0,Yes
USR-00017,SES-00017,17:19.9,Checkout,Desktop,West,Google Ads,Beauty,0,Yes
USR-00018,SES-00018,38:25.2,Browse,Tablet,South,Google Ads,Beauty,0,Yes
USR-00018,SES-00018,43:25.2,Add to Cart,Tablet,South,Google Ads,Beauty,0,Yes
USR-00019,SES-00019,25:16.8,Browse,Tablet,South,Google Ads,Home,0,Yes
USR-00020,SES-00020,10:14.6,Browse,Desktop,South,Email,Home,0,Yes
USR-00021,SES-00021,54:37.7,Browse,Desktop,East,Email,Fashion,0,Yes
USR-00021,SES-00021,57:37.7,Add to Cart,Desktop,East,Email,Fashion,0,Yes
USR-00021,SES-00021,02:37.7,Checkout,Desktop,East,Email,Fashion,0,Yes
USR-00022,SES-00022,59:46.6,Browse,Mobile,North,Organic,Beauty,0,Yes
USR-00022,SES-00022,03:46.6,Add to Cart,Mobile,North,Organic,Beauty,0,Yes
USR-00023,SES-00023,00:09.8,Browse,Desktop,West,Organic,Sports,0,Yes
USR-00024,SES-00024,16:10.0,Browse,Desktop,East,Email,Electronics,0,Yes
USR-00025,SES-00025,00:23.1,Browse,Desktop,West,Organic,Electronics,0,Yes
USR-00025,SES-00025,04:23.1,Add to Cart,Desktop,West,Organic,Electronics,0,Yes
USR-00026,SES-00026,49:12.6,Browse,Mobile,East,Google Ads,Beauty,0,Yes
USR-00026,SES-00026,53:12.6,Add to Cart,Mobile,East,Google Ads,Beauty,0,Yes
USR-00026,SES-00026,56:12.6,Checkout,Mobile,East,Google Ads,Beauty,0,Yes
USR-00027,SES-00027,02:47.5,Browse,Mobile,North,Google Ads,Home,0,Yes
USR-00027,SES-00027,07:47.5,Add to Cart,Mobile,North,Google Ads,Home,0,Yes
USR-00027,SES-00027,10:47.5,Checkout,Mobile,North,Google Ads,Home,0,Yes
USR-00027,SES-00027,14:47.5,Purchase,Mobile,North,Google Ads,Home,201.08,No
USR-00028,SES-00028,41:23.5,Browse,Mobile,South,Social Media,Beauty,0,Yes
USR-00028,SES-00028,43:23.5,Add to Cart,Mobile,South,Social Media,Beauty,0,Yes
USR-00029,SES-00029,23:29.4,Browse,Mobile,East,Email,Sports,0,Yes
USR-00030,SES-00030,43:46.0,Browse,Mobile,North,Social Media,Electronics,0,Yes
USR-00030,SES-00030,48:46.0,Add to Cart,Mobile,North,Social Media,Electronics,0,Yes
USR-00030,SES-00030,53:46.0,Checkout,Mobile,North,Social Media,Electronics,0,Yes
USR-00031,SES-00031,27:36.7,Browse,Mobile,West,Social Media,Fashion,0,Yes
USR-00031,SES-00031,32:36.7,Add to Cart,Mobile,West,Social Media,Fashion,0,Yes
USR-00032,SES-00032,45:43.1,Browse,Desktop,South,Organic,Beauty,0,Yes
USR-00033,SES-00033,05:26.8,Browse,Tablet,South,Social Media,Beauty,0,Yes
USR-00033,SES-00033,09:26.8,Add to Cart,Tablet,South,Social Media,Beauty,0,Yes
USR-00034,SES-00034,50:06.6,Browse,Tablet,East,Email,Electronics,0,Yes
USR-00035,SES-00035,54:01.1,Browse,Mobile,West,Organic,Fashion,0,Yes
USR-00035,SES-00035,56:01.1,Add to Cart,Mobile,West,Organic,Fashion,0,Yes
USR-00035,SES-00035,59:01.1,Checkout,Mobile,West,Organic,Fashion,0,Yes
USR-00036,SES-00036,31:35.6,Browse,Tablet,South,Organic,Beauty,0,Yes
USR-00036,SES-00036,34:35.6,Add to Cart,Tablet,South,Organic,Beauty,0,Yes
USR-00036,SES-00036,37:35.6,Checkout,Tablet,South,Organic,Beauty,0,Yes
USR-00036,SES-00036,40:35.6,Purchase,Tablet,South,Organic,Beauty,141.85,No
USR-00037,SES-00037,33:10.1,Browse,Desktop,East,Email,Home,0,Yes
USR-00037,SES-00037,38:10.1,Add to Cart,Desktop,East,Email,Home,0,Yes
USR-00038,SES-00038,50:24.6,Browse,Mobile,East,Social Media,Fashion,0,Yes
USR-00038,SES-00038,54:24.6,Add to Cart,Mobile,East,Social Media,Fashion,0,Yes
USR-00038,SES-00038,58:24.6,Checkout,Mobile,East,Social Media,Fashion,0,Yes
USR-00039,SES-00039,32:19.0,Browse,Mobile,South,Social Media,Home,0,Yes
USR-00039,SES-00039,37:19.0,Add to Cart,Mobile,South,Social Media,Home,0,Yes
USR-00040,SES-00040,38:48.7,Browse,Desktop,East,Organic,Home,0,Yes
USR-00041,SES-00041,33:03.0,Browse,Desktop,North,Email,Home,0,Yes
USR-00042,SES-00042,30:00.5,Browse,Tablet,South,Organic,Fashion,0,Yes
USR-00042,SES-00042,34:00.5,Add to Cart,Tablet,South,Organic,Fashion,0,Yes
USR-00043,SES-00043,16:13.4,Browse,Mobile,West,Organic,Electronics,0,Yes
USR-00043,SES-00043,19:13.4,Add to Cart,Mobile,West,Organic,Electronics,0,Yes
USR-00043,SES-00043,24:13.4,Checkout,Mobile,West,Organic,Electronics,0,Yes
USR-00044,SES-00044,05:49.5,Browse,Desktop,North,Email,Beauty,0,Yes
USR-00044,SES-00044,09:49.5,Add to Cart,Desktop,North,Email,Beauty,0,Yes
USR-00045,SES-00045,59:51.1,Browse,Tablet,East,Social Media,Electronics,0,Yes
USR-00045,SES-00045,02:51.1,Add to Cart,Tablet,East,Social Media,Electronics,0,Yes
USR-00045,SES-00045,05:51.1,Checkout,Tablet,East,Social Media,Electronics,0,Yes
USR-00045,SES-00045,08:51.1,Purchase,Tablet,East,Social Media,Electronics,492.44,No
USR-00046,SES-00046,08:41.7,Browse,Desktop,North,Social Media,Home,0,Yes
USR-00046,SES-00046,13:41.7,Add to Cart,Desktop,North,Social Media,Home,0,Yes
USR-00046,SES-00046,18:41.7,Checkout,Desktop,North,Social Media,Home,0,Yes
USR-00047,SES-00047,37:34.3,Browse,Tablet,East,Organic,Sports,0,Yes
USR-00047,SES-00047,39:34.3,Add to Cart,Tablet,East,Organic,Sports,0,Yes
USR-00047,SES-00047,41:34.3,Checkout,Tablet,East,Organic,Sports,0,Yes
USR-00048,SES-00048,59:39.2,Browse,Mobile,West,Email,Home,0,Yes
USR-00048,SES-00048,02:39.2,Add to Cart,Mobile,West,Email,Home,0,Yes
USR-00049,SES-00049,36:54.0,Browse,Tablet,North,Email,Fashion,0,Yes
USR-00049,SES-00049,40:54.0,Add to Cart,Tablet,North,Email,Fashion,0,Yes
USR-00049,SES-00049,43:54.0,Checkout,Tablet,North,Email,Fashion,0,Yes
USR-00050,SES-00050,58:08.7,Browse,Tablet,South,Email,Beauty,0,Yes
USR-00050,SES-00050,01:08.7,Add to Cart,Tablet,South,Email,Beauty,0,Yes
USR-00050,SES-00050,03:08.7,Checkout,Tablet,South,Email,Beauty,0,Yes
USR-00051,SES-00051,55:37.3,Browse,Mobile,East,Social Media,Home,0,Yes
USR-00051,SES-00051,59:37.3,Add to Cart,Mobile,East,Social Media,Home,0,Yes
USR-00052,SES-00052,29:51.5,Browse,Tablet,South,Email,Home,0,Yes
USR-00052,SES-00052,32:51.5,Add to Cart,Tablet,South,Email,Home,0,Yes
USR-00052,SES-00052,34:51.5,Checkout,Tablet,South,Email,Home,0,Yes
USR-00053,SES-00053,15:58.0,Browse,Mobile,East,Google Ads,Electronics,0,Yes
USR-00053,SES-00053,20:58.0,Add to Cart,Mobile,East,Google Ads,Electronics,0,Yes
USR-00053,SES-00053,25:58.0,Checkout,Mobile,East,Google Ads,Electronics,0,Yes
USR-00053,SES-00053,27:58.0,Purchase,Mobile,East,Google Ads,Electronics,76.57,No
USR-00054,SES-00054,16:58.6,Browse,Desktop,East,Email,Sports,0,Yes
USR-00054,SES-00054,20:58.6,Add to Cart,Desktop,East,Email,Sports,0,Yes
USR-00054,SES-00054,23:58.6,Checkout,Desktop,East,Email,Sports,0,Yes
USR-00055,SES-00055,32:52.5,Browse,Mobile,North,Google Ads,Fashion,0,Yes
